"ID","FULLNAME","EMAIL","BIRTHDATE_DAY","BIRTHDATE_MONTH","BIRTHDATE_YEAR","COUNTRY_NAME","COUNTRY_ABBREVIATION","DDD","MOBILE_DEVICE_OS","CURRENCY_ID","CURRENCY_NAME","AMOUNT","AVG_AMOUNT_MONTH","USE_ECOMMERCE","LAST_STOCK_BOUGHT_TAG","LAST_STOCK_BOUGHT_NAME","LAST_STOCK_BOUGHT_CATEGORY"
"14","SAREE ARLEEN","saree-arleenkristi@hotmail.com.a","2","6","1971","ARGENTINA","ARG","+90","OTHER","US","DOLAR","155876","2449.25","True","ADSG-U.TI","ADIDAS"","FITNESS"
"15","BRENDA INGEBORG","brenda-ingeborgsamantha@inc.com.a","23","10","1977","ARGENTINA","ARG","+90","MOTOROLA","US","DOLAR","444228","31492.583333333332","False","ADDYY","ADIDAS"","FITNESS"
"16","DIANN YETTA","diann-yettaambur@inc.com.a","24","3","2001","ARGENTINA","ARG","+90","IOS","US","DOLAR","145855","69844.5","False","ADDYY","ADIDAS"","FITNESS"
"17","ELYSEE HARRIET","elysee-harriettammi@hotmail.com.m","25","9","1986","MEXICO","MEX","+92","XIAOMI","US","DOLAR","268405","17452.666666666668","False","ADDDF","ADIDAS"","FITNESS"
"18","MARYELLEN KITTI","maryellen-kittifanchon@hotmail.com.m","16","6","1993","MEXICO","MEX","+92","SANSUNG","US","DOLAR","201648","35940.916666666664","False","ADDYY","ADIDAS"","FITNESS"
"19","SHIRLINE DORY","shirline-dorywinne@yahoo.com.a","30","4","2000","ARGENTINA","ARG","+90","MOTOROLA","US","DOLAR","568411","78189.33333333333","False","BBAS3.SA","BANCO DO BRASIL S.A.","FINANCE"
"20","LETTIE BERT","lettie-bertclaretta@yahoo.com.a","12","4","1980","ARGENTINA","ARG","+90","XIAOMI","US","DOLAR","979204","61349.25","True","SBUX","STARBUCKS CORPORATION","COFFEE"
"21","OPHELIE LEONORA","ophelie-leonoramaddie@hotmail.com.a","2","10","1998","ARGENTINA","ARG","+90","SANSUNG","US","DOLAR","156961","27595.333333333332","True","ADSG-U.TI","ADIDAS"","FITNESS"
"22","DEMETRIA DOROTEYA","demetria-doroteyalouisa@hotmail.com.u","5","1","2001","UNITED_STATES","USA","+91","MOTOROLA","US","DOLAR","376135","28031.333333333332","False","DIS","THE WALT DISNEY COMPANY","FUN"
"23","WRENNIE CORALIE","wrennie-coraliemarje@inc.com.b","6","6","1992","BRASIL","BRA","+55","IOS","US","DOLAR","203281","72377.75","True","ADDDF","ADIDAS"","FITNESS"
"24","PENNIE CARLIE","pennie-carliejorrie@hotmail.com.u","9","1","1980","UNITED_STATES","USA","+91","OTHER","US","DOLAR","349760","46152.666666666664","False","ADDYY","ADIDAS"","FITNESS"
"25","KORAL GLORY","koral-gloryfaunie@gmail.com.a","14","11","1983","ARGENTINA","ARG","+90","SANSUNG","US","DOLAR","603684","62187.833333333336","False","DIS","THE WALT DISNEY COMPANY","FUN"
"26","ELLADINE WRENNIE","elladine-wrennieteri@yahoo.com.u","2","11","1986","UNITED_STATES","USA","+91","IOS","US","DOLAR","171052","37404.083333333336","False","DIS","THE WALT DISNEY COMPANY","FUN"
"27","TARYN RAYNELL","taryn-raynellcon@yahoo.com.a","4","8","1970","ARGENTINA","ARG","+90","SANSUNG","US","DOLAR","856173","44245.666666666664","False","BBAS3.SA","BANCO DO BRASIL S.A.","FINANCE"
"28","LAURALEE ELFIE","lauralee-elfiebelia@yahoo.com.m","12","7","1985","MEXICO","MEX","+92","OTHER","US","DOLAR","546638","56298.083333333336","True","ADSG-U.TI","ADIDAS"","FITNESS"
"29","ANJELA VITA","anjela-vitamikaela@outlook.com.m","24","6","1984","MEXICO","MEX","+92","OTHER","US","DOLAR","40287","1858.25","True","BBAS3.SA","BANCO DO BRASIL S.A.","FINANCE"
"30","LENORA BOBBYE","lenora-bobbyewilone@hotmail.com.m","4","5","1998","MEXICO","MEX","+92","OTHER","US","DOLAR","922376","19495.75","False","ADS.F","ADIDAS"","FITNESS"
"31","GERLADINA LEEANNE","gerladina-leeannedanette@gmail.com.b","12","12","1982","BRASIL","BRA","+55","XIAOMI","US","DOLAR","272978","30516.666666666668","False","DIS","THE WALT DISNEY COMPANY","FUN"
"32","MERYL ISABELITA","meryl-isabelitafelicity@yahoo.com.u","18","12","1991","UNITED_STATES","USA","+91","SANSUNG","US","DOLAR","365747","51054.583333333336","False","ADS.F","ADIDAS"","FITNESS"
"33","BARBE CARREE","barbe-carreekarine@inc.com.u","15","12","1985","UNITED_STATES","USA","+91","XIAOMI","US","DOLAR","145555","40512.416666666664","False","NKE","NIKE INC.","FITNESS"
"34","CORLY MARION","corly-marionhalie@yahoo.com.b","21","12","1990","BRASIL","BRA","+55","XIAOMI","US","DOLAR","678082","43062.5","False","ADDYY","ADIDAS"","FITNESS"
"35","FRANCISCA GRETA","francisca-gretalynett@outlook.com.m","15","6","2000","MEXICO","MEX","+92","IOS","US","DOLAR","391964","51591.333333333336","False","ADDDF","ADIDAS"","FITNESS"
"36","PEN SISSY","pen-sissyanaliese@inc.com.u","7","5","1987","UNITED_STATES","USA","+91","MOTOROLA","US","DOLAR","121624","77464.83333333333","False","ADSG-U.TI","ADIDAS"","FITNESS"
"37","MAYBELLE BELIA","maybelle-beliagnni@inc.com.u","27","3","2001","UNITED_STATES","USA","+91","SANSUNG","US","DOLAR","188346","80625.66666666667","True","APPL","APPLE INC.","TECHNOLOGY"
"38","HONORIA MINNNIE","honoria-minnnieleela@inc.com.b","20","3","1971","BRASIL","BRA","+55","MOTOROLA","US","DOLAR","215490","44071.916666666664","False","ADSG-U.TI","ADIDAS"","FITNESS"
"39","BAMBIE DEDE","bambie-dededolly@gmail.com.m","9","4","2004","MEXICO","MEX","+92","XIAOMI","US","DOLAR","147818","32196.333333333332","True","BBAS3.SA","BANCO DO BRASIL S.A.","FINANCE"
"40","CLARESTA DONNAMARIE","claresta-donnamarieanetta@outlook.com.a","16","11","1974","ARGENTINA","ARG","+90","XIAOMI","US","DOLAR","634454","50587.25","False","SBUX","STARBUCKS CORPORATION","COFFEE"
"41","KELILA DOREY","kelila-doreyalanah@inc.com.a","14","5","1981","ARGENTINA","ARG","+90","XIAOMI","US","DOLAR","815920","74969.75","False","ADDDF","ADIDAS"","FITNESS"
"42","EDDIE FAY","eddie-fayjoan@inc.com.m","24","2","1995","MEXICO","MEX","+92","SANSUNG","US","DOLAR","447096","73233.0","True","NKE","NIKE INC.","FITNESS"
"43","JACQUELIN DARBY","jacquelin-darbyroanna@outlook.com.a","20","4","1981","ARGENTINA","ARG","+90","IOS","US","DOLAR","455995","20235.333333333332","True","BBAS3.SA","BANCO DO BRASIL S.A.","FINANCE"
"44","FARAH ALEXANDRINA","farah-alexandrinalorianne@yahoo.com.m","10","9","1971","MEXICO","MEX","+92","SANSUNG","US","DOLAR","454644","27660.25","False","ADDYY","ADIDAS"","FITNESS"
"45","GENNI ROBINETTA","genni-robinettaalvera@hotmail.com.u","15","7","1973","UNITED_STATES","USA","+91","MOTOROLA","US","DOLAR","467563","28614.833333333332","False","ADDYY","ADIDAS"","FITNESS"
"46","LULA CLAUDIE","lula-claudiebobina@gmail.com.b","8","4","1981","BRASIL","BRA","+55","OTHER","US","DOLAR","985911","20884.916666666668","True","DIS","THE WALT DISNEY COMPANY","FUN"
"47","SOFIA LACEE","sofia-laceehallie@yahoo.com.b","8","7","1982","BRASIL","BRA","+55","OTHER","US","DOLAR","996320","77334.08333333333","False","APPL","APPLE INC.","TECHNOLOGY"
"48","KIMBERLY VIRGINIA","kimberly-virginiaoralie@yahoo.com.m","30","1","1974","MEXICO","MEX","+92","OTHER","US","DOLAR","198011","80735.66666666667","True","ADDYY","ADIDAS"","FITNESS"
"49","REINE ETHELINE","reine-ethelinejaquith@yahoo.com.u","17","9","2004","UNITED_STATES","USA","+91","MOTOROLA","US","DOLAR","624513","4685.25","False","SBUX","STARBUCKS CORPORATION","COFFEE"
"50","LANA JANINA","lana-janinanicolea@inc.com.m","23","7","1987","MEXICO","MEX","+92","OTHER","US","DOLAR","191679","22104.5","True","APPL","APPLE INC.","TECHNOLOGY"
"51","KIRSTIN SELENE","kirstin-seleneliza@gmail.com.m","13","3","1974","MEXICO","MEX","+92","OTHER","US","DOLAR","302034","41995.25","True","NKE","NIKE INC.","FITNESS"
"52","ILKA JEN","ilka-jendottie@outlook.com.b","3","7","1993","BRASIL","BRA","+55","OTHER","US","DOLAR","450","33265.916666666664","False","BBAS3.SA","BANCO DO BRASIL S.A.","FINANCE"
"53","ISIS GINNI","isis-ginniroana@gmail.com.m","13","7","1993","MEXICO","MEX","+92","SANSUNG","US","DOLAR","786939","24726.333333333332","False","DIS","THE WALT DISNEY COMPANY","FUN"
"54","HILLARY DIANEMARIE","hillary-dianemarieclaire@inc.com.b","25","7","1988","BRASIL","BRA","+55","OTHER","US","DOLAR","79487","35319.916666666664","False","ADS.F","ADIDAS"","FITNESS"
"55","KISSIE SIBLEY","kissie-sibleycheryl@hotmail.com.m","18","7","1997","MEXICO","MEX","+92","SANSUNG","US","DOLAR","41516","61695.0","False","ADS.F","ADIDAS"","FITNESS"
"56","STEFFANE MATILDE","steffane-matildedru@hotmail.com.a","29","9","1972","ARGENTINA","ARG","+90","SANSUNG","US","DOLAR","104946","5815.5","True","DIS","THE WALT DISNEY COMPANY","FUN"
"57","POOH RANIQUE","pooh-raniquedebbie@inc.com.a","26","7","1975","ARGENTINA","ARG","+90","SANSUNG","US","DOLAR","828280","21921.083333333332","False","ADDDF","ADIDAS"","FITNESS"
"58","BERT MELODEE","bert-melodeerenata@hotmail.com.u","21","10","1975","UNITED_STATES","USA","+91","OTHER","US","DOLAR","469277","22361.333333333332","False","NKE","NIKE INC.","FITNESS"
"59","LIESA DALORIS","liesa-dalorischelsie@inc.com.b","18","1","1974","BRASIL","BRA","+55","IOS","US","DOLAR","625523","45643.5","False","APPL","APPLE INC.","TECHNOLOGY"
"60","LORALIE RAFAELIA","loralie-rafaeliaamandi@hotmail.com.m","27","7","1980","MEXICO","MEX","+92","MOTOROLA","US","DOLAR","329610","82527.66666666667","False","NKE","NIKE INC.","FITNESS"
"61","RAMONDA LELAH","ramonda-lelahneilla@yahoo.com.m","15","10","1991","MEXICO","MEX","+92","XIAOMI","US","DOLAR","495878","68728.91666666667","False","DIS","THE WALT DISNEY COMPANY","FUN"
"62","COLLETTE JACINTHA","collette-jacinthahonor@yahoo.com.m","28","4","1991","MEXICO","MEX","+92","XIAOMI","US","DOLAR","796809","15320.666666666666","True","APPL","APPLE INC.","TECHNOLOGY"
"63","FAWN GENVIEVE","fawn-genvievelynelle@hotmail.com.u","26","2","1991","UNITED_STATES","USA","+91","IOS","US","DOLAR","749920","29601.583333333332","False","DIS","THE WALT DISNEY COMPANY","FUN"
"64","NISSE VERIEE","nisse-verieeadelaida@outlook.com.a","15","7","1976","ARGENTINA","ARG","+90","IOS","US","DOLAR","16830","74286.41666666667","False","SBUX","STARBUCKS CORPORATION","COFFEE"
"65","NADEAN NEDDA","nadean-neddajuanita@hotmail.com.b","20","6","1979","BRASIL","BRA","+55","OTHER","US","DOLAR","633302","81332.0","False","ADDYY","ADIDAS"","FITNESS"
"66","AMANDA CORRINA","amanda-corrinakris@yahoo.com.u","15","10","2001","UNITED_STATES","USA","+91","XIAOMI","US","DOLAR","72369","25152.0","True","DIS","THE WALT DISNEY COMPANY","FUN"
"67","CATHERINA TILLIE","catherina-tilliecaty@inc.com.m","9","9","2002","MEXICO","MEX","+92","IOS","US","DOLAR","607283","54168.333333333336","True","NKE","NIKE INC.","FITNESS"
"68","STELLA JOANA","stella-joanafederica@gmail.com.u","19","4","1982","UNITED_STATES","USA","+91","OTHER","US","DOLAR","125757","72578.08333333333","True","ADDDF","ADIDAS"","FITNESS"
"69","EDDI SYDELLE","eddi-sydellebetteann@outlook.com.m","13","2","1976","MEXICO","MEX","+92","XIAOMI","US","DOLAR","21884","78886.75","False","SBUX","STARBUCKS CORPORATION","COFFEE"
"70","GARLAND ISSY","garland-issygoldarina@yahoo.com.m","10","2","1978","MEXICO","MEX","+92","XIAOMI","US","DOLAR","664763","30565.666666666668","False","APPL","APPLE INC.","TECHNOLOGY"
"71","HULDA CALYPSO","hulda-calypsoleigh@inc.com.m","25","1","1973","MEXICO","MEX","+92","IOS","US","DOLAR","336262","74896.33333333333","True","ADDDF","ADIDAS"","FITNESS"
"72","CODY DORO","cody-dorobilly@outlook.com.a","5","1","1986","ARGENTINA","ARG","+90","SANSUNG","US","DOLAR","836506","61171.083333333336","True","DIS","THE WALT DISNEY COMPANY","FUN"
"73","TAMMI ADEY","tammi-adeyreyna@inc.com.b","9","10","1988","BRASIL","BRA","+55","IOS","US","DOLAR","193400","74167.91666666667","False","ADS.F","ADIDAS"","FITNESS"
"74","JACQUELIN LACEY","jacquelin-laceybeverlie@hotmail.com.b","5","5","2004","BRASIL","BRA","+55","XIAOMI","US","DOLAR","271490","56338.75","True","SBUX","STARBUCKS CORPORATION","COFFEE"
"75","KORRIE TESSIE","korrie-tessieardath@yahoo.com.u","7","10","1978","UNITED_STATES","USA","+91","IOS","US","DOLAR","765140","23580.166666666668","True","BBAS3.SA","BANCO DO BRASIL S.A.","FINANCE"
"76","CARMEN THERESSA","carmen-theressaraynell@hotmail.com.u","11","3","1989","UNITED_STATES","USA","+91","MOTOROLA","US","DOLAR","108312","38788.833333333336","False","NKE","NIKE INC.","FITNESS"
"77","ARDIS DORIS","ardis-dorisanet@gmail.com.m","18","8","1994","MEXICO","MEX","+92","IOS","US","DOLAR","733503","1061.75","True","ADSG-U.TI","ADIDAS"","FITNESS"
"78","HERMINA DAVINA","hermina-davinajorry@outlook.com.u","25","8","1970","UNITED_STATES","USA","+91","SANSUNG","US","DOLAR","186514","53015.916666666664","False","DIS","THE WALT DISNEY COMPANY","FUN"
"79","LANNI MADELYN","lanni-madelynkamila@yahoo.com.u","26","1","1983","UNITED_STATES","USA","+91","SANSUNG","US","DOLAR","856612","71720.5","False","APPL","APPLE INC.","TECHNOLOGY"
"80","KORE NANI","kore-nanierika@inc.com.b","4","2","1995","BRASIL","BRA","+55","MOTOROLA","US","DOLAR","174074","30059.25","True","ADSG-U.TI","ADIDAS"","FITNESS"
"81","GATES DEE","gates-deemelosa@inc.com.a","3","2","1991","ARGENTINA","ARG","+90","IOS","US","DOLAR","143769","7392.0","True","ADSG-U.TI","ADIDAS"","FITNESS"
"82","DANIT JANESSA","danit-janessatish@outlook.com.b","12","8","1973","BRASIL","BRA","+55","IOS","US","DOLAR","874553","75741.33333333333","False","ADDDF","ADIDAS"","FITNESS"
"83","COLLINE LATRENA","colline-latrenakarolina@outlook.com.u","26","10","1981","UNITED_STATES","USA","+91","OTHER","US","DOLAR","194144","52466.75","True","ADDYY","ADIDAS"","FITNESS"
"84","TEDDIE JSANDYE","teddie-jsandyeceleste@yahoo.com.b","5","11","1993","BRASIL","BRA","+55","XIAOMI","US","DOLAR","780605","7246.416666666667","True","ADS.F","ADIDAS"","FITNESS"
"85","LEONORA KALINDA","leonora-kalindagretel@outlook.com.u","24","8","1992","UNITED_STATES","USA","+91","XIAOMI","US","DOLAR","843677","16842.666666666668","False","ADDYY","ADIDAS"","FITNESS"
"86","LUCINDA KIZZIE","lucinda-kizziejamie@yahoo.com.a","11","4","1992","ARGENTINA","ARG","+90","SANSUNG","US","DOLAR","770534","23907.166666666668","False","BBAS3.SA","BANCO DO BRASIL S.A.","FINANCE"
"87","ASHLY ANGELIQUE","ashly-angeliquebryn@yahoo.com.a","15","6","2004","ARGENTINA","ARG","+90","IOS","US","DOLAR","893506","82292.08333333333","False","ADDYY","ADIDAS"","FITNESS"
"88","AUBINE ARLIE","aubine-arlieranice@yahoo.com.m","7","7","2002","MEXICO","MEX","+92","SANSUNG","US","DOLAR","985972","72004.58333333333","True","DIS","THE WALT DISNEY COMPANY","FUN"
"89","DAWNA RENATA","dawna-renatajenelle@outlook.com.u","22","9","1972","UNITED_STATES","USA","+91","XIAOMI","US","DOLAR","594864","6067.5","True","DIS","THE WALT DISNEY COMPANY","FUN"
"90","KITTI ERNALINE","kitti-ernalineportia@inc.com.u","24","2","1986","UNITED_STATES","USA","+91","SANSUNG","US","DOLAR","65137","78148.75","True","ADS.F","ADIDAS"","FITNESS"
"91","URSULINE HELGE","ursuline-helgeerica@yahoo.com.u","21","3","1981","UNITED_STATES","USA","+91","SANSUNG","US","DOLAR","456308","14878.583333333334","False","ADDYY","ADIDAS"","FITNESS"
"92","STELLA THOMASINE","stella-thomasineshelagh@hotmail.com.a","12","5","1993","ARGENTINA","ARG","+90","IOS","US","DOLAR","584114","49913.25","False","NKE","NIKE INC.","FITNESS"
"93","NOELLYN JEAN","noellyn-jeanreyna@yahoo.com.a","3","9","2001","ARGENTINA","ARG","+90","SANSUNG","US","DOLAR","72913","23084.916666666668","True","ADSG-U.TI","ADIDAS"","FITNESS"
"94","LILAS MERYL","lilas-merylmaria@outlook.com.b","29","5","1996","BRASIL","BRA","+55","IOS","US","DOLAR","352693","58647.166666666664","False","NKE","NIKE INC.","FITNESS"
"95","NISSA MAX","nissa-maxangela@yahoo.com.u","26","5","1994","UNITED_STATES","USA","+91","MOTOROLA","US","DOLAR","5514","45281.916666666664","True","DIS","THE WALT DISNEY COMPANY","FUN"
"96","CASANDRA LAETITIA","casandra-laetitiaclarette@hotmail.com.b","5","11","1997","BRASIL","BRA","+55","OTHER","US","DOLAR","57166","18843.5","False","SBUX","STARBUCKS CORPORATION","COFFEE"
"97","FLORE JULIANNA","flore-juliannadaisie@gmail.com.a","6","10","2000","ARGENTINA","ARG","+90","SANSUNG","US","DOLAR","573799","398.0833333333333","False","ADS.F","ADIDAS"","FITNESS"
"98","JANOT SALAIDH","janot-salaidhraven@yahoo.com.m","8","2","1974","MEXICO","MEX","+92","SANSUNG","US","DOLAR","320825","7726.666666666667","False","ADDDF","ADIDAS"","FITNESS"
"99","DIANEMARIE RAFAELA","dianemarie-rafaelakendre@inc.com.a","30","12","1994","ARGENTINA","ARG","+90","IOS","US","DOLAR","160935","21225.583333333332","False","APPL","APPLE INC.","TECHNOLOGY"
"100","CHARLENA SOPHI","charlena-sophimisha@outlook.com.a","20","9","1996","ARGENTINA","ARG","+90","SANSUNG","US","DOLAR","133539","15253.166666666666","True","ADDYY","ADIDAS"","FITNESS"
"101","SALLYANNE SIMONA","sallyanne-simonarosette@inc.com.b","30","10","1975","BRASIL","BRA","+55","IOS","US","DOLAR","921198","80038.0","False","SBUX","STARBUCKS CORPORATION","COFFEE"
"102","FRANKY MARYS","franky-maryscarley@outlook.com.u","27","4","1974","UNITED_STATES","USA","+91","OTHER","US","DOLAR","179806","11710.833333333334","True","ADDDF","ADIDAS"","FITNESS"
"103","CLORIS CORENE","cloris-coreneflora@gmail.com.m","22","7","2003","MEXICO","MEX","+92","SANSUNG","US","DOLAR","104087","41989.75","True","ADSG-U.TI","ADIDAS"","FITNESS"
"104","SHELLIE GWENNI","shellie-gwennicelisse@inc.com.u","17","7","2003","UNITED_STATES","USA","+91","SANSUNG","US","DOLAR","767786","44332.583333333336","False","BBAS3.SA","BANCO DO BRASIL S.A.","FINANCE"
"105","LEONORA KIZZIE","leonora-kizziesarina@yahoo.com.m","9","6","1994","MEXICO","MEX","+92","SANSUNG","US","DOLAR","846504","52984.083333333336","True","ADDYY","ADIDAS"","FITNESS"
"106","FLORANCE ROBBI","florance-robbijeanelle@gmail.com.a","29","2","1993","ARGENTINA","ARG","+90","MOTOROLA","US","DOLAR","270931","22485.083333333332","False","APPL","APPLE INC.","TECHNOLOGY"
"107","JOBIE MAGGI","jobie-maggikaterine@gmail.com.a","3","12","1989","ARGENTINA","ARG","+90","IOS","US","DOLAR","465500","6004.583333333333","False","NKE","NIKE INC.","FITNESS"
"108","TANI LILITH","tani-lilithottilie@hotmail.com.m","26","11","2004","MEXICO","MEX","+92","OTHER","US","DOLAR","858755","30525.0","True","DIS","THE WALT DISNEY COMPANY","FUN"
"109","CHARIN ALYS","charin-alyshettie@hotmail.com.b","7","11","2002","BRASIL","BRA","+55","MOTOROLA","US","DOLAR","321412","37062.416666666664","False","ADDDF","ADIDAS"","FITNESS"
"110","FLORENCE INDIRA","florence-indiranananne@gmail.com.a","13","7","1981","ARGENTINA","ARG","+90","XIAOMI","US","DOLAR","661832","26971.166666666668","True","ADS.F","ADIDAS"","FITNESS"
"111","BERTY ALIKEE","berty-alikeeshelley@hotmail.com.u","23","1","1976","UNITED_STATES","USA","+91","IOS","US","DOLAR","897896","4115.083333333333","False","ADDDF","ADIDAS"","FITNESS"
"112","DONNI SILVA","donni-silvapavla@inc.com.b","12","7","1977","BRASIL","BRA","+55","XIAOMI","US","DOLAR","58124","15779.583333333334","False","SBUX","STARBUCKS CORPORATION","COFFEE"
"113","DAVINE JUSTINE","davine-justinecele@hotmail.com.u","24","10","2001","UNITED_STATES","USA","+91","SANSUNG","US","DOLAR","438479","80546.58333333333","True","ADDYY","ADIDAS"","FITNESS"
"114","ISAHELLA KARYL","isahella-karylmodesta@inc.com.u","3","4","1994","UNITED_STATES","USA","+91","IOS","US","DOLAR","207473","48799.083333333336","False","SBUX","STARBUCKS CORPORATION","COFFEE"
"115","ADRIA ZONNYA","adria-zonnyachris@inc.com.m","18","10","1972","MEXICO","MEX","+92","OTHER","US","DOLAR","133694","13458.083333333334","True","ADDDF","ADIDAS"","FITNESS"
"116","LUCILA EMELYNE","lucila-emelyneaime@outlook.com.a","19","7","1998","ARGENTINA","ARG","+90","MOTOROLA","US","DOLAR","97907","24499.75","True","NKE","NIKE INC.","FITNESS"
"117","MARTINA HESTER","martina-hesterjerrine@outlook.com.b","15","4","1971","BRASIL","BRA","+55","XIAOMI","US","DOLAR","691221","73335.0","False","DIS","THE WALT DISNEY COMPANY","FUN"
"118","SIMONA LYNN","simona-lynnjessika@yahoo.com.m","7","9","1971","MEXICO","MEX","+92","SANSUNG","US","DOLAR","567127","48222.416666666664","True","ADSG-U.TI","ADIDAS"","FITNESS"
"119","FAE CARMINA","fae-carminaaggy@outlook.com.a","2","9","1997","ARGENTINA","ARG","+90","OTHER","US","DOLAR","381753","27022.583333333332","False","ADS.F","ADIDAS"","FITNESS"
"120","EDIVA TAMMA","ediva-tammawillabella@inc.com.a","5","6","2002","ARGENTINA","ARG","+90","SANSUNG","US","DOLAR","729153","74964.16666666667","False","DIS","THE WALT DISNEY COMPANY","FUN"
"121","NATHALIE TAMIKO","nathalie-tamikolettie@yahoo.com.u","11","12","1989","UNITED_STATES","USA","+91","IOS","US","DOLAR","287825","35351.25","True","ADDDF","ADIDAS"","FITNESS"
"122","BECKIE DOLLIE","beckie-dolliehelsa@gmail.com.b","23","6","1972","BRASIL","BRA","+55","IOS","US","DOLAR","552673","58409.833333333336","False","ADSG-U.TI","ADIDAS"","FITNESS"
"123","MYRTA MERRIELLE","myrta-merriellecharis@outlook.com.m","13","7","1998","MEXICO","MEX","+92","OTHER","US","DOLAR","960827","29152.333333333332","True","NKE","NIKE INC.","FITNESS"
"124","TINE ROSABEL","tine-rosabeldonella@inc.com.u","12","6","1970","UNITED_STATES","USA","+91","XIAOMI","US","DOLAR","329934","50342.25","False","DIS","THE WALT DISNEY COMPANY","FUN"
"125","ESSA VANDA","essa-vandazena@outlook.com.u","3","2","1977","UNITED_STATES","USA","+91","MOTOROLA","US","DOLAR","798130","62948.25","False","ADSG-U.TI","ADIDAS"","FITNESS"
"126","SHIRLENE XYLINA","shirlene-xylinakali@inc.com.m","4","10","1985","MEXICO","MEX","+92","XIAOMI","US","DOLAR","906069","5146.333333333333","False","SBUX","STARBUCKS CORPORATION","COFFEE"
"127","JEWELLE JACKLYN","jewelle-jacklynnorrie@gmail.com.a","30","3","1994","ARGENTINA","ARG","+90","XIAOMI","US","DOLAR","919229","39755.083333333336","False","APPL","APPLE INC.","TECHNOLOGY"
"128","JUANITA JORDAN","juanita-jordankatusha@inc.com.m","11","4","1992","MEXICO","MEX","+92","IOS","US","DOLAR","155596","31415.0","False","DIS","THE WALT DISNEY COMPANY","FUN"
"129","ANNALISE JEWELLE","annalise-jewellenadine@outlook.com.a","18","4","1972","ARGENTINA","ARG","+90","SANSUNG","US","DOLAR","670091","42208.75","False","ADSG-U.TI","ADIDAS"","FITNESS"
